AgencyNUM,NUM,Record Type,LookupID,FieldNameInDatabase,CultureCode,FieldValue
ZZZ99990,ZZZ99992,PROGRAM,1,AgencyNamePublic,en,"SERVICE_NAME_LEVEL_1 B, SERVICE_NAME_LEVEL_2 B"
ZZZ99990,ZZZ99992,PROGRAM,4,AgencyNameAlternate,en,ALT_ORG 1 SERVICE; ALT_ORG 2 SERVICE; FORMER_ORG 1 SERVICE; FORMER_ORG 2 SERVICE
ZZZ99990,ZZZ99992,PROGRAM,46,PhoneTollFree,en,TOLL_FREE_PHONE SERVICE
ZZZ99990,ZZZ99992,PROGRAM,47,PhoneNumberHotline,en,CRISIS_PHONE SERVICE
ZZZ99990,ZZZ99992,PROGRAM,49,PhoneNumberAfterHours,en,AFTER_HRS_PHONE SERVICE
ZZZ99990,ZZZ99992,PROGRAM,50,PhoneNumberBusinessLine,en,OFFICE_PHONE SERVICE
ZZZ99990,ZZZ99992,PROGRAM,51,PhoneFax,en,FAX SERVICE
ZZZ99990,ZZZ99992,PROGRAM,52,PhoneTTY,en,TDD_PHONE SERVICE
ZZZ99990,ZZZ99992,PROGRAM,59,WebsiteAddress,en,www.WWW_ADDRESS_SERVICE.com
ZZZ99990,ZZZ99992,PROGRAM,58,EmailAddressMain,en,E_MAIL_SERVICE@contact.org
ZZZ99990,ZZZ99992,PROGRAM,24,CoverageArea,en,Halton Region - AREAS_SERVED_TEST_NOTE_1 SERVICE ; Peel Region - AREAS_SERVED_TEST_NOTE_2 SERVICE ; AREAS_SERVED_TEST_NOTE_3 SERVICE
ZZZ99990,ZZZ99992,PROGRAM,61,MainContactTitle,en,CONTACT_1_TITLE SERVICE
ZZZ99990,ZZZ99992,PROGRAM,60,MainContactName,en,Mr CONTACT_1_FIRSTNAME SERVICE CONTACT_1_LASTNAME SERVICE CONTACT_1_SUFFFIX SERVICE
ZZZ99990,ZZZ99992,PROGRAM,62,MainContactPhoneNumber,en,CONTACT_1_PHONE1_NOTES SERVICE (Cell) CONTACT_1_PHONE1_NO option C1P1_OPT ext C1P1_EXT; CONTACT_1_PHONE2_NOTES SERVICE (Answering Service) CONTACT_1_PHONE2_NO option C1P2_OPT ext C1P2_EXT; CONTACT_1_PHONE3_NOTES SERVICE (Business) CONTACT_1_PHONE3_NO option C1P3_OPT ext C1P3_EXT; (please call first) CONTACT_1_FAX_NOTES SERVICE CONTACT_1_FAX_NO
ZZZ99990,ZZZ99992,PROGRAM,63,MainContactEmailAddress,en,CONTACT_1@contact.org
ZZZ99990,ZZZ99992,PROGRAM,68,LastVerifiedOn,en,2013-03-15
ZZZ99990,ZZZ99992,PROGRAM,69,LastVerifiedByName,en,SOURCE_NAME SERVICE
ZZZ99990,ZZZ99992,PROGRAM,70,LastVerifiedByTitle,en,SOURCE_TITLE SERVICE
ZZZ99990,ZZZ99992,PROGRAM,71,LastVerifiedByEmailAddress,en,SOURCE_EMAIL_SERVICE@contact.org
ZZZ99990,ZZZ99992,PROGRAM,72,LastVerifiedByPhoneNumber,en,SOURCE_PHONE SERVICE
ZZZ99990,ZZZ99992,PROGRAM,14,FeeStructureSource,en,Membership - FEE_NOTES_1 SERVICE ; Deposit ; FEE_NOTES_2 SERVICE * Fee assistance available for FEE_ASSISTANCE_FOR SERVICE ; assistance is provided by FEE_ASSISTANCE_FROM SERVICE.
ZZZ99990,ZZZ99992,PROGRAM,15,ApplicationProcess,en,APPLICATION SERVICE
ZZZ99990,ZZZ99992,PROGRAM,13,LanguagesOffered,en,Italian; Other - LANGUAGE_NOTES_2 SERVICE; Portuguese - LANGUAGE_NOTES_1 SERVICE
ZZZ99990,ZZZ99992,PROGRAM,81,InternalNotesForEditorsAndViewers,en,"PUBLIC_COMMENTS SERVICE

COMMENTS SERVICE"
ZZZ99990,ZZZ99992,PROGRAM,11,Eligibility,en,ELIGIBILITY_NOTES SERVICE<br /><br />Age Requirements: Ages: 1 year(s) - 99 year(s); <br /><br />Residency Requirements: BOUNDARIES SERVICE
ZZZ99990,ZZZ99990,PROGRAM,1,AgencyNamePublic,en,"SERVICE_NAME_LEVEL_1 A, SERVICE_NAME_LEVEL_2 A"
ZZZ99990,ZZZ99990,PROGRAM,4,AgencyNameAlternate,en,ALT_ORG 1; ALT_ORG 2; ALT_ORG 3; FORMER_ORG 1; FORMER_ORG 2; FORMER_ORG 3; LEGAL_ORG
ZZZ99990,ZZZ99990,PROGRAM,46,PhoneTollFree,en,TOLL_FREE_PHONE
ZZZ99990,ZZZ99990,PROGRAM,47,PhoneNumberHotline,en,CRISIS_PHONE
ZZZ99990,ZZZ99990,PROGRAM,49,PhoneNumberAfterHours,en,AFTER_HRS_PHONE
ZZZ99990,ZZZ99990,PROGRAM,50,PhoneNumberBusinessLine,en,OFFICE_PHONE
